brand,model,body_type,seating,fuel_types,transmissions,launch_date,description,pros,cons
Maruti Suzuki,Alto K10,Hatchback,5,"petrol,cng","manual,automatic",2022-08-18,"The Maruti Suzuki Alto K10 is India's most affordable car with modern features, excellent fuel efficiency, and reliable performance for city driving.","Most affordable car, excellent fuel efficiency, low maintenance, wide service network","Basic interiors, limited features, poor highway performance"
Maruti Suzuki,Swift,Hatchback,5,"petrol,cng","manual,automatic",2018-02-01,"The Maruti Suzuki Swift is a premium hatchback known for its sporty design, peppy performance, and feature-rich interiors.","Sporty design, peppy performance, feature-rich, good build quality","Rear seat space, road noise at high speeds"
Maruti Suzuki,Baleno,Hatchback,5,"petrol,cng","manual,automatic",2015-10-26,"The Maruti Suzuki Baleno is a premium hatchback offering spacious interiors, advanced features, and excellent fuel efficiency.","Spacious interiors, feature-rich, good fuel efficiency, premium feel","Rear seat comfort, road noise, average build quality"
Maruti Suzuki,Dzire,Sedan,5,"petrol,cng","manual,automatic",2017-05-16,"The Maruti Suzuki Dzire is India's best-selling compact sedan known for its fuel efficiency, spacious cabin, and reliable performance.","Best-in-class fuel efficiency, spacious cabin, reliable, wide service network","Basic interiors, average build quality, road noise"
Maruti Suzuki,Vitara Brezza,SUV,5,"petrol,cng","manual,automatic",2016-03-21,"The Maruti Suzuki Vitara Brezza is a compact SUV offering SUV styling, good ground clearance, and excellent fuel efficiency.","SUV styling, good ground clearance, fuel efficient, reliable","Limited power, basic interiors, average ride quality"
Hyundai,i10 Nios,Hatchback,5,"petrol,cng","manual,automatic",2019-08-20,"The Hyundai i10 Nios is a feature-rich hatchback offering modern design, spacious interiors, and advanced connectivity features.","Feature-rich, spacious interiors, modern design, good build quality","Higher maintenance cost, average fuel efficiency"
Hyundai,i20,Hatchback,5,"petrol,diesel","manual,automatic",2020-11-05,"The Hyundai i20 is a premium hatchback with modern design, advanced features, and excellent build quality.","Premium design, feature-rich, good build quality, spacious interiors","Higher maintenance cost, average fuel efficiency"
Hyundai,Venue,SUV,5,"petrol,diesel","manual,automatic",2019-05-21,"The Hyundai Venue is a compact SUV offering bold design, connected car technology, and premium features in a compact package.","Bold design, connected features, premium interiors, good build quality","Compact size, firm ride quality, higher maintenance"
Hyundai,Creta,SUV,5,"petrol,diesel","manual,automatic",2015-07-21,"The Hyundai Creta is a mid-size SUV known for its premium design, feature-rich interiors, and strong road presence.","Premium design, feature-rich, spacious, strong road presence","Higher maintenance cost, average fuel efficiency"
Tata Motors,Tiago,Hatchback,5,"petrol,cng","manual,automatic",2016-04-06,"The Tata Tiago is a stylish hatchback offering modern design, spacious interiors, and excellent safety features at an affordable price.","Stylish design, spacious interiors, good safety, affordable","Average fuel efficiency, limited service network"
